"Protons in air, I = 85.7 eV, r = 0.0012 g cm-3",,,,,
T,Sel/rho,Snuc/rho,Stot/rho,range,"Detour factor"
,,,,,
0.001,119.7,21.63,141.3,9.857E-06,0.3304
0.0015,146.7,18.4,165.1,1.31E-05,0.376
0.002,169.3,16.14,185.4,1.595E-05,0.4123
0.003,207.4,13.14,220.5,2.088E-05,0.4674
0.004,239.5,11.2,250.7,2.512E-05,0.5084
0.005,267.8,9.825,277.6,2.891E-05,0.5406
0.006,293.3,8.786,302.1,3.236E-05,0.5669
0.008,338.7,7.31,346,3.853E-05,0.6078
0.01,378.7,6.3,385,4.4E-05,0.6387
0.015,450.4,4.751,455.2,5.588E-05,0.6923
0.02,506.7,3.858,510.6,6.623E-05,0.7281
0.03,590.5,2.848,593.3,8.43E-05,0.7743
0.04,648.3,2.282,650.6,0.0001003,0.8041
0.05,687.7,1.917,689.6,0.0001152,0.8256
0.06,713.2,1.659,714.9,0.0001295,0.842
0.08,734.1,1.316,735.4,0.0001569,0.8664
0.1,729,1.098,730.1,0.0001842,0.8839
0.15,667.2,0.7861,668,0.0002554,0.9133
0.2,592.2,0.6183,592.8,0.0003349,0.932
0.3,476.5,0.439,477,0.000524,0.9544
0.4,401.2,0.3435,401.6,0.0007536,0.9668
0.5,349.8,0.2836,350.1,0.001021,0.9743
0.6,312.1,0.2423,312.3,0.001324,0.9793
0.8,258.7,0.1885,258.9,0.002031,0.9852
1,222.7,0.1548,222.9,0.002867,0.9886
1.5,168.2,0.108,168.3,0.005479,0.9926
2,137,0.0834,137.1,0.008792,0.9943
3,101.7,0.05778,101.8,0.01737,0.9959
4,81.92,0.04444,81.97,0.02839,0.9966
5,69.05,0.03621,69.09,0.04173,0.9969
6,59.94,0.03061,59.97,0.05731,0.9972
8,47.81,0.02345,47.83,0.09493,0.9975
10,40.04,0.01905,40.06,0.1408,0.9976
15,28.92,0.01304,28.94,0.2899,0.9979
20,22.93,0.009953,22.94,0.4855,0.998
30,16.52,0.00679,16.53,1.007,0.9981
40,13.12,0.005173,13.12,1.691,0.9982
50,10.98,0.004187,10.99,2.528,0.9983
60,9.514,0.003523,9.518,3.509,0.9983
80,7.618,0.002681,7.62,5.876,0.9984
100,6.441,0.002169,6.443,8.744,0.9985
150,4.815,0.001475,4.816,17.86,0.9986
200,3.975,0.001122,3.976,29.37,0.9986
300,3.117,0.0007631,3.118,58.16,0.9987
400,2.686,0.0005806,2.687,92.93,0.9988
500,2.431,0.0004697,2.431,132.2,0.9989
600,2.265,0.0003951,2.266,174.9,0.999
800,2.069,0.0003009,2.069,267.7,0.999
1000,1.962,0.0002436,1.963,367.2,0.9991
1500,1.85,0.0001661,1.85,631.1,0.9992
2000,1.82,0.0001267,1.82,904.1,0.9993
3000,1.828,8.655E-05,1.828,1454,0.9994
4000,1.861,6.608E-05,1.861,1996,0.9995
5000,1.898,5.362E-05,1.898,2528,0.9996
6000,1.934,4.52E-05,1.934,3050,0.9996
8000,1.998,3.453E-05,1.998,4067,0.9997
10000,2.052,2.803E-05,2.053,5054,0.9997
